Date,Close/Last,Volume,Open,High,Low
11/20/2024,$468.83,3019456,$470.00,$470.6149,$466.11
11/19/2024,$468.86,3656243,$470.77,$470.77,$465.01
11/18/2024,$472.20,3358434,$470.98,$472.6713,$468.36
11/15/2024,$470.28,5817672,$466.74,$472.2551,$465.19
11/14/2024,$467.70,3777267,$468.81,$469.4493,$466.00
11/13/2024,$468.10,2861709,$466.41,$468.40,$464.00
11/12/2024,$466.29,4400521,$467.69,$468.42,$465.15
11/11/2024,$467.36,4119111,$466.01,$470.51,$464.00
11/08/2024,$463.41,3541302,$461.98,$466.35,$459.5001
11/07/2024,$460.13,4237986,$468.27,$468.46,$460.10
11/06/2024,$468.90,6906833,$461.00,$469.26,$459.4801
11/05/2024,$445.06,3154357,$442.29,$445.23,$441.10
11/04/2024,$442.29,5733184,$450.37,$450.70,$437.90
11/01/2024,$452.14,2971342,$451.49,$455.12,$450.70
10/31/2024,$450.92,3660308,$455.19,$456.84,$450.57
10/30/2024,$454.96,2692082,$454.67,$457.6699,$453.82
10/29/2024,$454.62,3985180,$458.60,$458.92,$454.39
10/28/2024,$458.49,4103359,$455.59,$459.24,$455.00
10/25/2024,$454.01,2838884,$458.60,$459.45,$453.03
10/24/2024,$457.77,3793479,$460.90,$461.05,$453.96
10/23/2024,$460.61,3655203,$460.15,$463.26,$458.745
10/22/2024,$461.45,3315151,$464.11,$465.1453,$457.60
10/21/2024,$464.16,3131480,$464.53,$465.7899,$461.68
10/18/2024,$464.80,5635463,$467.00,$467.00,$463.25
10/17/2024,$465.85,2520903,$466.10,$467.8393,$464.27
10/16/2024,$465.69,3166265,$463.25,$466.00,$462.20
10/15/2024,$462.68,3929879,$460.99,$466.66,$460.51
10/14/2024,$459.98,2969790,$461.92,$462.00,$458.10
10/11/2024,$460.21,3243402,$455.90,$463.45,$455.90
10/10/2024,$454.93,2375788,$457.50,$457.505,$452.7249
10/09/2024,$455.90,2206063,$452.75,$457.875,$452.355
10/08/2024,$453.80,2234137,$455.96,$457.56,$452.85
10/07/2024,$453.50,3222061,$462.34,$462.34,$452.4101
10/04/2024,$461.97,3093491,$455.01,$462.18,$453.81
10/03/2024,$452.96,2564713,$455.47,$455.97,$450.92
10/02/2024,$456.67,2803429,$458.70,$458.70,$454.19
10/01/2024,$457.41,3043696,$459.11,$459.79,$454.82
09/30/2024,$460.26,3637071,$458.40,$460.63,$454.5507
09/27/2024,$457.47,2727975,$456.04,$458.27,$455.04
09/26/2024,$454.18,3262045,$452.74,$457.00,$451.34
09/25/2024,$452.36,2843311,$454.90,$455.81,$451.21
09/24/2024,$454.56,3009852,$454.33,$455.5999,$451.77
09/23/2024,$454.98,3485083,$457.31,$459.6545,$453.42
09/20/2024,$455.31,8468764,$457.76,$457.95,$454.05
09/19/2024,$459.71,3891344,$462.00,$462.19,$457.25
09/18/2024,$456.60,3065217,$458.08,$459.84,$454.8801
09/17/2024,$456.68,3824256,$453.50,$461.10,$453.29
09/16/2024,$451.78,3264367,$448.80,$452.99,$448.34
09/13/2024,$447.61,3882598,$451.58,$452.4285,$447.21
09/12/2024,$450.87,3855713,$454.84,$455.00,$449.27
09/11/2024,$453.10,5772729,$457.62,$457.62,$445.25
09/10/2024,$458.92,3544103,$461.82,$464.32,$456.21
09/09/2024,$459.61,4571041,$463.97,$466.00,$459.26
09/06/2024,$459.42,4400294,$463.82,$468.17,$458.55
09/05/2024,$464.92,6213155,$479.43,$479.43,$462.88
09/04/2024,$478.57,5316318,$478.68,$484.82,$474.22
09/03/2024,$476.83,7511879,$475.00,$482.89,$473.72
08/30/2024,$475.92,7465778,$470.52,$476.95,$470.00
08/29/2024,$468.37,4459412,$467.11,$469.85,$463.00
08/28/2024,$464.59,4838124,$461.17,$466.60,$460.78
08/27/2024,$460.63,3764691,$455.94,$462.10,$454.62
08/26/2024,$454.49,3578262,$455.305,$459.2699,$453.34
08/23/2024,$453.38,2805379,$450.00,$453.72,$448.81
08/22/2024,$449.03,3502793,$446.30,$449.60,$444.65
08/21/2024,$446.60,3028530,$449.84,$451.28,$443.84
08/20/2024,$448.36,2906497,$449.30,$450.50,$446.38
08/19/2024,$448.77,3385343,$446.01,$450.45,$445.73
08/16/2024,$444.51,3344974,$441.55,$445.204,$440.4545
08/15/2024,$440.84,3226437,$441.80,$442.59,$438.72
08/14/2024,$438.47,2860174,$433.00,$438.98,$431.71
08/13/2024,$432.41,3471965,$431.83,$432.81,$425.90
08/12/2024,$430.39,2376042,$434.16,$434.16,$429.01
08/09/2024,$431.67,2602645,$431.92,$434.75,$430.21
08/08/2024,$431.54,3149984,$429.24,$432.2599,$427.60
08/07/2024,$427.02,4745587,$426.07,$433.17,$425.60
08/06/2024,$422.14,5138707,$416.41,$427.46,$415.10
08/05/2024,$413.72,7695125,$413.43,$417.82,$406.11
08/02/2024,$428.36,4251527,$429.77,$436.25,$423.4901
08/01/2024,$431.81,3892292,$439.67,$440.61,$430.95
07/31/2024,$438.50,3798765,$439.85,$440.85,$437.74
07/30/2024,$441.26,3736411,$439.51,$443.8905,$439.14
07/29/2024,$438.31,2619986,$438.01,$439.44,$435.49
07/26/2024,$437.66,2717621,$435.66,$439.00,$434.10
07/25/2024,$433.29,3334269,$431.60,$439.625,$431.60
07/24/2024,$432.80,3143717,$433.99,$435.41,$430.73
07/23/2024,$434.01,2393018,$437.34,$437.92,$433.47
07/22/2024,$435.98,2995689,$435.05,$438.11,$432.12
07/19/2024,$434.47,4158849,$442.67,$442.80,$433.35
07/18/2024,$441.82,4638333,$445.62,$449.25,$439.57
07/17/2024,$445.61,4776601,$437.85,$446.15,$437.84
07/16/2024,$438.90,4293707,$437.40,$439.0516,$434.0201
07/15/2024,$434.42,4594912,$425.59,$434.71,$425.30
07/12/2024,$424.44,4834635,$420.23,$427.45,$419.70
07/11/2024,$418.78,4073570,$413.99,$419.20,$412.00
07/10/2024,$413.79,3791805,$410.81,$413.96,$409.40
07/09/2024,$410.52,2990262,$409.42,$413.71,$408.64
07/08/2024,$409.08,3559529,$411.27,$413.7855,$408.00
07/05/2024,$411.17,5153464,$406.24,$411.40,$405.03
07/03/2024,$405.77,1970259,$407.16,$407.16,$404.22
07/02/2024,$407.10,3221572,$404.02,$407.39,$403.92
07/01/2024,$405.19,2976899,$408.09,$409.67,$403.82
06/28/2024,$406.80,6820908,$408.25,$410.05,$405.79
06/27/2024,$407.95,3220281,$410.26,$410.26,$406.34
06/26/2024,$410.26,3335507,$410.02,$410.68,$407.25
06/25/2024,$410.97,3883522,$414.00,$414.25,$409.62
06/24/2024,$413.98,4935716,$410.70,$417.00,$410.00
06/21/2024,$409.62,9012935,$409.82,$410.4673,$407.68
06/20/2024,$409.15,4845563,$407.25,$411.00,$404.05
06/18/2024,$407.95,4006848,$406.745,$408.50,$405.28
06/17/2024,$407.32,3408255,$405.18,$407.815,$403.5501
06/14/2024,$405.54,2772449,$404.90,$406.34,$403.33
06/13/2024,$405.92,4566105,$407.63,$408.00,$403.5711
06/12/2024,$408.77,3554031,$411.09,$411.891,$407.16
06/11/2024,$408.50,3610600,$408.88,$408.91,$406.11
06/10/2024,$410.81,2668443,$413.34,$413.94,$409.27
06/07/2024,$413.72,2943072,$411.28,$415.88,$409.8451
06/06/2024,$411.08,3447914,$410.42,$411.24,$407.38
06/05/2024,$409.85,2643906,$410.10,$410.275,$405.77
06/04/2024,$409.53,4157980,$414.85,$415.89,$406.4401
06/03/2024,$414.79,4905810,$414.89,$416.72,$408.78
05/31/2024,$414.40,5197520,$408.09,$415.40,$406.88
05/30/2024,$408.61,2907090,$403.77,$409.04,$402.7701
05/29/2024,$404.09,3428787,$403.00,$405.87,$401.58
05/28/2024,$403.90,3321863,$408.24,$408.24,$401.87
05/24/2024,$407.41,2068921,$406.90,$407.9599,$405.50
05/23/2024,$405.88,3398121,$413.25,$413.25,$404.87
05/22/2024,$413.99,2673507,$414.95,$417.26,$412.96
05/21/2024,$414.37,2740759,$413.59,$415.70,$412.56
05/20/2024,$413.00,3292715,$417.04,$417.28,$412.615
05/17/2024,$416.94,2990028,$413.98,$417.33,$413.70
05/16/2024,$413.12,3550693,$413.80,$416.34,$412.91
05/15/2024,$412.76,2857594,$410.51,$413.40,$410.10
05/14/2024,$410.24,2674407,$410.45,$411.5592,$408.17
05/13/2024,$411.22,2711154,$414.06,$414.2996,$410.19
05/10/2024,$412.05,3087837,$409.85,$412.38,$409.20
05/09/2024,$408.82,2358862,$406.25,$408.87,$405.46
05/08/2024,$406.37,2399639,$406.47,$407.229,$403.75
05/07/2024,$406.14,3085702,$406.93,$407.26,$403.6105
05/06/2024,$404.92,3920908,$403.96,$405.15,$399.26
05/03/2024,$400.87,4130994,$404.50,$404.50,$399.21
05/02/2024,$400.60,2679740,$401.00,$401.56,$397.88
05/01/2024,$398.58,2606198,$396.61,$402.32,$396.35
04/30/2024,$396.73,3074765,$400.58,$400.60,$396.37
04/29/2024,$400.96,2365421,$402.66,$404.87,$400.08
04/26/2024,$402.10,3025406,$403.92,$404.75,$401.41
04/25/2024,$404.91,2676009,$404.85,$406.14,$400.35
04/24/2024,$405.95,2508495,$407.10,$407.62,$403.88
04/23/2024,$408.74,2288595,$410.25,$410.72,$405.64
04/22/2024,$408.78,2981614,$406.84,$411.35,$406.25
04/19/2024,$405.08,3999913,$401.04,$405.57,$400.17
04/18/2024,$399.89,2672415,$399.70,$402.99,$399.10
04/17/2024,$397.74,2466391,$398.94,$399.28,$395.661
04/16/2024,$396.92,3438078,$400.97,$401.25,$396.50
04/15/2024,$400.26,3004477,$406.99,$409.0554,$399.86
04/12/2024,$403.26,3469707,$405.00,$407.21,$401.44
04/11/2024,$407.61,2891952,$408.40,$411.1499,$404.0531
04/10/2024,$409.11,3125230,$412.74,$413.56,$407.53
04/09/2024,$414.69,2234137,$416.58,$417.32,$412.12
04/08/2024,$415.97,2486651,$418.32,$418.57,$415.625
04/05/2024,$418.62,2739587,$416.56,$419.27,$415.41
04/04/2024,$415.32,3802994,$423.84,$424.52,$414.55
04/03/2024,$420.24,2742174,$419.00,$421.9099,$418.52
04/02/2024,$418.92,3175139,$419.75,$421.01,$418.085
04/01/2024,$420.20,2718872,$421.49,$421.66,$417.81
03/28/2024,$420.52,4378770,$417.80,$421.44,$415.85
03/27/2024,$416.93,2929158,$413.65,$417.21,$413.40
03/26/2024,$411.57,2936406,$410.00,$412.66,$408.6001
03/25/2024,$409.92,2808910,$410.67,$411.065,$408.9244
03/22/2024,$411.60,3000546,$413.00,$414.35,$411.40
03/21/2024,$413.78,3402874,$416.70,$417.825,$413.51
03/20/2024,$416.11,2935528,$412.02,$416.31,$411.55
03/19/2024,$411.76,2804025,$409.08,$412.19,$408.09
03/18/2024,$408.41,3778561,$408.70,$410.5999,$406.00
03/15/2024,$408.13,7557843,$404.27,$408.46,$402.50
03/14/2024,$406.73,3739644,$409.08,$409.08,$403.34
03/13/2024,$408.13,3586358,$405.30,$409.00,$404.15
